lgd_state_code,lgd_district_code,district_name,state_name,Demand_Chronic,Demand_Acute,Realizability_Chronic,Realizability_Acute,Demand_Overall,Realizability_Overall,MAI_Overall,MAI_Chronic,MAI_Acute,quadrant_overall,quadrant_chronic,quadrant_acute,confidence_score
21,354,Ganjam,Odisha,0.4160126198620268,0.4303045014335466,0.3309568073082755,0.417913044891598,0.4231585606477867,0.3744349260999367,0.3980519367930642,0.37105553286467463,0.424063514611496,Underserved,Star,Underserved,0.368421052631579
20,328,Garhwa,Jharkhand,0.2391943306004225,0.6199328703902518,0.2664901680968585,0.2129947764690271,0.42956360049533715,0.2397424722829428,0.3209121991846282,0.2524736369792342,0.3633764757858907,Emerging,Deprioritize,Emerging,0.368421052631579
22,645,Gariyaband,Chhattisgarh,0.3916129413168878,0.51235687729554,0.3675157664743068,0.443822491074422,0.45198490930621393,0.4056691287743644,0.42820126620248555,0.37937307533526116,0.476860048232622,Star,Star,Underserved,0.368421052631579
22,734,Gaurela-Pendra-Marwahi,Chhattisgarh,0.3034004899638421,0.5413187208914425,0.2956016496138057,0.4169297801379868,0.4223596054276423,0.35626571487589626,0.3879075234671022,0.2994756840328587,0.4750704108717416,Underserved,Underserved,Star,0.368421052631579
9,144,Gautam Buddha Nagar,Uttar Pradesh,0.3519133985074373,0.4644255927573602,0.6612306346183662,0.4939001637112786,0.40816949563239874,0.5775653991648224,0.48553535161904604,0.4823856546641689,0.478936192299734,Underserved,Underserved,Underserved,0.368421052631579
10,196,Gaya,Bihar,0.2626943684777468,0.6054591134132733,0.4692634512894266,0.3155078973014735,0.4340767409455101,0.39238567429545,0.41270509409489403,0.3511023582748538,0.4370665072675281,Emerging,Deprioritize,Emerging,1.0
9,145,Ghaziabad,Uttar Pradesh,0.4508298332148083,0.5626241166369601,0.6325622943574029,0.6328970956141243,0.5067269749258843,0.6327296949857636,0.5662342309379692,0.5340205554687238,0.5967270476038391,Star,Star,Underserved,0.368421052631579
9,146,Ghazipur,Uttar Pradesh,0.355455031993055,0.5689784555073146,0.4578895054958012,0.3560150019316616,0.46221674375018484,0.4069522537137314,0.4337051366693274,0.4034341691345617,0.45007206749198564,Deprioritize,Star,Emerging,0.368421052631579
24,675,Gir Somnath,Gujarat,0.2879075172891501,0.3962682888120565,0.3244364679105008,0.5287461300179352,0.3420879030506033,0.426591298964218,0.38201010840330174,0.30562672984242284,0.45773936269257465,Deprioritize,Deprioritize,Deprioritize,1.0
20,329,Giridih,Jharkhand,0.2950932204294146,0.5871454270413784,0.2992166605010663,0.1176966906850671,0.44111932373539653,0.20845667559306671,0.30323962103548163,0.2971477880674775,0.2628784390429172,Emerging,Emerging,Emerging,0.368421052631579
18,287,Goalpara,Assam,0.2407329817060332,0.4295022290538616,0.2516658101067771,0.4417314279684814,0.3351176053799474,0.3466986190376292,0.34085893123171196,0.24613870248392225,0.4355739121614242,Underserved,Deprioritize,Star,1.0
20,330,Godda,Jharkhand,0.2979163327209008,0.6032290525011195,0.362164372794552,0.215951170116452,0.45057269261101013,0.289057771455502,0.3608899256073014,0.3284732588584923,0.36092661267334586,Star,Star,Emerging,0.368421052631579
18,288,Golaghat,Assam,0.3447511119085124,0.4387826216586873,0.4098935614450613,0.4935864799881468,0.39176686678359984,0.451740020716604,0.4206860735951482,0.37591390114270185,0.4653785230374112,Star,Star,Star,1.0
16,654,Gomati,Tripura,0.4415260657203917,0.3769644592523311,0.3078009799137045,0.5195922179073105,0.4092452624863614,0.4136965989105075,0.41146491127536694,0.3686490955992965,0.4425695419424485,Underserved,Deprioritize,Star,1.0
9,147,Gonda,Uttar Pradesh,0.479447888097083,0.6821645131306059,0.3346351032663436,0.358487048969244,0.5808062006138445,0.3465610761177938,0.4486477704175305,0.4005497391638118,0.49451708082100865,Emerging,Emerging,Emerging,0.368421052631579
27,476,Gondia,Maharashtra,0.2951678591005062,0.5648249589250262,0.3454969092047881,0.3994884223183572,0.42999640901276615,0.37249266576157264,0.40021307907297177,0.31934242282512243,0.4750168752023338,Deprioritize,Deprioritize,Emerging,0.368421052631579
10,197,Gopalganj,Bihar,0.3005857072052805,0.5528001330415502,0.5198573219127139,0.3600737429789491,0.4266929201234153,0.43996553244583153,0.43327840679286694,0.3952994823585989,0.44614886867897807,Star,Star,Underserved,1.0
9,148,Gorakhpur,Uttar Pradesh,0.4535909294515853,0.6661429351910673,0.5844495417402236,0.4701619986377616,0.5598669323213263,0.5273057701889926,0.5433424923112913,0.5148796081177629,0.5596383598252153,Star,Star,Star,0.368421052631579
20,331,Gumla,Jharkhand,0.2718733089435045,0.4896485631156353,0.2333005331563661,0.019063478609611,0.3807609360295699,0.12618200588298856,0.21919210448849524,0.25184953430075074,0.09661472408065798,Deprioritize,Deprioritize,Deprioritize,0.368421052631579
23,406,Guna,Madhya Pradesh,0.267837900048314,0.5115881966831212,0.2660298359860406,0.3097390481538775,0.3897130483657176,0.287884442069959,0.3349512255480603,0.2669323371581242,0.39806888987634864,Deprioritize,Deprioritize,Emerging,0.368421052631579
28,506,Guntur,Andhra Pradesh,0.6395894869931981,0.4391613125561819,0.3518550295796053,0.6525731724186536,0.53937539977469,0.5022141009991294,0.5204631893793181,0.47438673871093434,0.5353362410096365,Star,Star,Underserved,1.0
3,32,Gurdaspur,Punjab,0.4890807623032325,0.3896465816793596,0.3845095338284501,0.6639201496368388,0.43936367199129606,0.5242148417326444,0.4799176572871546,0.43365448910126475,0.5086199138984269,Emerging,Emerging,Deprioritize,0.368421052631579
6,62,Gurugram,Haryana,0.3554400007227418,0.3792512928750755,0.7165046501385904,0.7907126350098795,0.36734564679890863,0.753608642574235,0.5261509804606277,0.5046527651396636,0.547611896437755,Underserved,Star,Underserved,0.368421052631579
23,407,Gwalior,Madhya Pradesh,0.2853060830948586,0.4894604932072223,0.4158675267778495,0.6292680579347514,0.38738328815104045,0.5225677923563005,0.4499266936788856,0.3444554182348341,0.5549791473526678,Underserved,Underserved,Underserved,0.368421052631579
11,228,Gyalshing,Sikkim,0.3957316165524757,0.059236072466913,0.2263297077516977,0.6880405341654763,0.22748384450969433,0.457185120958587,0.322493765782052,0.29927549368838857,0.20188318142430706,Deprioritize,Deprioritize,Deprioritize,0.368421052631579
