lgd_state_code,lgd_district_code,district_name,state_name,census_2011_district_code,notes,census_total_population,literacy_rate,sex_ratio,latrine_access_rate,tap_water_rate,nfhs5_high_blood_sugar_pct,nfhs5_elevated_bp_pct,nfhs5_women_overweight_pct,nfhs5_women_tobacco_pct,nfhs5_men_tobacco_pct,nfhs5_women_alcohol_pct,nfhs5_men_alcohol_pct,nfhs5_child_diarrhoea_pct,nfhs5_child_ari_pct,nfhs5_improved_sanitation_pct,nfhs5_improved_water_pct,nfhs5_child_underweight_pct,nightlight_log_mean,nightlight_growth_rate,census_total_population__imputed_state_avg,census_total_population__imputed_national_avg,literacy_rate__imputed_state_avg,literacy_rate__imputed_national_avg,sex_ratio__imputed_state_avg,sex_ratio__imputed_national_avg,latrine_access_rate__imputed_state_avg,latrine_access_rate__imputed_national_avg,tap_water_rate__imputed_state_avg,tap_water_rate__imputed_national_avg,nfhs5_high_blood_sugar_pct__imputed_state_avg,nfhs5_high_blood_sugar_pct__imputed_national_avg,nfhs5_high_blood_sugar_pct__imputed_nfhs4_trend_adjusted,nfhs5_elevated_bp_pct__imputed_state_avg,nfhs5_elevated_bp_pct__imputed_national_avg,nfhs5_elevated_bp_pct__imputed_nfhs4_trend_adjusted,nfhs5_women_overweight_pct__imputed_state_avg,nfhs5_women_overweight_pct__imputed_national_avg,nfhs5_women_overweight_pct__imputed_nfhs4_trend_adjusted,nfhs5_women_tobacco_pct__imputed_state_avg,nfhs5_women_tobacco_pct__imputed_national_avg,nfhs5_women_tobacco_pct__imputed_nfhs4_trend_adjusted,nfhs5_men_tobacco_pct__imputed_state_avg,nfhs5_men_tobacco_pct__imputed_national_avg,nfhs5_men_tobacco_pct__imputed_nfhs4_trend_adjusted,nfhs5_women_alcohol_pct__imputed_state_avg,nfhs5_women_alcohol_pct__imputed_national_avg,nfhs5_women_alcohol_pct__imputed_nfhs4_trend_adjusted,nfhs5_men_alcohol_pct__imputed_state_avg,nfhs5_men_alcohol_pct__imputed_national_avg,nfhs5_men_alcohol_pct__imputed_nfhs4_trend_adjusted,nfhs5_child_diarrhoea_pct__imputed_state_avg,nfhs5_child_diarrhoea_pct__imputed_national_avg,nfhs5_child_diarrhoea_pct__imputed_nfhs4_trend_adjusted,nfhs5_child_ari_pct__imputed_state_avg,nfhs5_child_ari_pct__imputed_national_avg,nfhs5_child_ari_pct__imputed_nfhs4_trend_adjusted,nfhs5_improved_sanitation_pct__imputed_state_avg,nfhs5_improved_sanitation_pct__imputed_national_avg,nfhs5_improved_sanitation_pct__imputed_nfhs4_trend_adjusted,nfhs5_improved_water_pct__imputed_state_avg,nfhs5_improved_water_pct__imputed_national_avg,nfhs5_improved_water_pct__imputed_nfhs4_trend_adjusted,nfhs5_child_underweight_pct__imputed_state_avg,nfhs5_child_underweight_pct__imputed_national_avg,nfhs5_child_underweight_pct__imputed_nfhs4_trend_adjusted,nightlight_log_mean__imputed_state_avg,nightlight_log_mean__imputed_national_avg,nightlight_growth_rate__imputed_state_avg,nightlight_growth_rate__imputed_national_avg,confidence_score
3,27,Amritsar,Punjab,49.0,,2490656.0,67.6436248120977,889.1390222146711,79.0,41.9,13.04459492481203,23.659304699248118,34.06825563909774,13.536767025089604,41.43548928571428,2.694717857142855,22.78818928571428,69.34138315988648,2.9562958646616537,102.75000319548872,105.30877612781956,11.44383515037594,1.517566890117074,0.02893035609419303,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,0.368421052631579
9,154,Amroha,Uttar Pradesh,137.0,Name changed from Jyothi Bhai Phule Nagar to Amroha,1840221.0,53.42347468048675,910.0346774972002,53.2,21.8,14.344594924812029,18.659304699248118,20.66825563909774,13.536767025089604,41.43548928571428,2.694717857142855,22.78818928571428,37.34138315988647,1.1562958646616537,73.25000319548872,105.26777612781956,41.04383515037594,1.095517437272861,0.04450455764296461,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,0.368421052631579
28,744,Anakapalli,Andhra Pradesh,544.0,"boundary_inherited=True; formed on April 4, 2022, from erstwhile Vishakapatnam",4290589.0,59.857725827386396,1005.9698631545974,51.300000000000004,48.2,18.428909090909094,24.659090909090907,32.03213636363637,4.2,22.990909090909092,0.5090909090909091,24.61818181818182,-33.99545454545455,1.8045454545454547,77.42727272727272,105.30877612781956,29.35,0.8171411056254726,0.030421470000736646,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,0.368421052631579
24,440,Anand,Gujarat,482.0,,2092745.0,74.12527565470232,924.8517324856699,54.0,36.1,16.6,26.6,20.9,7.3,35.8,0.3,4.8,11.7,0.0,82.1,99.7,46.6,1.103653510243987,0.04304762805152298,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
28,502,Ananthapuramu,Andhra Pradesh,553.0,,4081148.0,56.62524368143473,976.8262940816035,36.8,47.1,18.72890909090909,26.759090909090908,29.73213636363637,4.2,22.990909090909092,0.5090909090909091,24.61818181818182,75.3459434079696,2.2045454545454546,68.72727272727272,82.72727272727272,35.55,0.575271376208594,0.029466852472548596,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,0.368421052631579
1,1,Anantnag,Jammu And Kashmir,14.0,,1078692.0,50.57347231647217,927.0374995310549,56.60000000000001,24.0,10.4,20.0,28.6,2.9,47.0,0.2,1.152,7.0,7.541999999999996,84.7,99.3,28.3,0.5327073478084593,0.0238987153752927,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
12,628,Anjaw,Arunachal Pradesh,260.0,,50453.174399999996,47.19610714791893,839.489006691579,28.7,29.600000000000005,12.64459492481203,29.200304699248115,22.66825563909774,13.536767025089604,41.43548928571428,2.694717857142855,22.78818928571428,15.841383159886469,2.056295864661654,69.75000319548872,92.56777612781956,10.90025362406015,0.2955711628342191,0.020498692353633094,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,0.368421052631579
28,753,Annamayya,Andhra Pradesh,,"parent_census_2011_code=multiple; boundary_inherited=True; formed on April 4, 2022 ,combining parts of the erstwhile Chittoor and YSR districts",4122918.3636363638,60.04578566722432,997.4098373225047,48.377272727272725,48.85,19.772727272727273,25.39090909090909,36.09372727272727,4.2,22.990909090909092,0.5090909090909091,24.61818181818182,7.945454545454546,2.309090909090909,76.39999999999999,95.80909090909091,27.88181818181818,0.726401165041112,0.03303917761291683,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,0.0
21,344,Anugul,Odisha,384.0,,1273821.0,68.25574393890508,942.6354011938058,24.1,10.6,14.04459492481203,22.959304699248122,21.368255639097743,13.536767025089604,41.43548928571428,2.694717857142855,22.78818928571428,67.04138315988646,0.15629586466165363,60.05000319548872,82.56777612781956,33.94383515037593,0.8887070205809314,0.015403978639818032,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,0.368421052631579
8,776,Anupgarh,Rajasthan,99.0,boundary_inherited=True (new LGD district); Anupgarh district is a new north-west district of Rajasthan state in India. It was established on 7 August 2023 after curving it out of Sri Ganganagar District.,1969168.0,60.6013808877658,887.3694097801292,84.7,67.5,13.44459492481203,20.159304699248118,24.26825563909774,13.536767025089604,41.43548928571428,2.694717857142855,22.78818928571428,50.54138315988647,2.1562958646616535,97.85000319548872,97.46777612781955,27.94383515037594,0.6681584989269969,0.03179688748222869,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,0.368421052631579
